card,store,quantity,value
swiftwater cliffs,Pi Games,3,0.75
swiftwater cliffs,Pi Games,1,0.75
swiftwater cliffs,Pi Games,1,0.75
swiftwater cliffs,Pi Games,1,0.75
swiftwater cliffs,Magic House Games,1,4.00
swiftwater cliffs,Flow Games,3,3.82
swiftwater cliffs,Flow Games,4,0.48
swiftwater cliffs,Flow Games,1,0.48
seething song,Tutubahia,4,2.75
seething song,Tutubahia,3,15.00
seething song,Tutubahia,1,20.00
seething song,VampireX TCG,2,17.59
swiftwater cliffs,Chuck TCG,2,0.50
swiftwater cliffs,Chuck TCG,14,0.50
swiftwater cliffs,Chuck TCG,3,0.75
swiftwater cliffs,Chuck TCG,1,0.75
swiftwater cliffs,Chuck TCG,4,1.00
swiftwater cliffs,Chuck TCG,2,2.50
swiftwater cliffs,Chuck TCG,3,3.00
swiftwater cliffs,Chuck TCG,1,3.00
seething song,Chuck TCG,2,5.00
seething song,Chuck TCG,1,18.00
seething song,Loja Grimorium,5,3.75
seething song,Loja Grimorium,2,2.99
seething song,Loja Grimorium,1,19.99
seething song,Pharaoh\'s Shop,2,3.00
seething song,Pharaoh\'s Shop,2,15.00
seething song,Pharaoh\'s Shop,1,13.50
seething song,Pharaoh\'s Shop,1,16.00
seething song,Pharaoh\'s Shop,1,15.00
seething song,Nerdz Cards,4,5.90
seething song,Nerdz Cards,1,2.50
seething song,Nerdz Cards,1,2.90
seething song,Nerdz Cards,1,1.50
seething song,Overrun Geek Store,4,5.00
seething song,Overrun Geek Store,4,3.00
seething song,Overrun Geek Store,1,2.00
seething song,Ascensão,3,3.95
seething song,Ascensão,1,4.80
seething song,Mulligan Geek Store,5,4.50
seething song,Mulligan Geek Store,4,4.75
seething song,Mulligan Geek Store,1,3.25
seething song,WCG - World Card Games,1,4.49
seething song,WCG - World Card Games,1,4.49
seething song,Miragem Hobby,4,4.49
seething song,Inside Games,1,4.50
seething song,Magic Store Brasil,2,4.00
seething song,Magic Store Brasil,1,2.50
seething song,Magic Store Brasil,3,2.40
seething song,TCGeeK,5,3.30
seething song,TCGeeK,2,4.50
seething song,TCGeeK,1,3.00
seething song,TCGeeK,1,4.00
seething song,MTG Cards Games,1,3.95
seething song,Shandalar,1,3.90
seething song,Shandalar,1,3.40
